yourlist:M202206164ABAA9BC7178C81CEBC9459510EDDEA35117681	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
hsa:10544	Q9UNN8	EPCR_HUMAN	reviewed	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	PROCR EPCR	Homo sapiens (Human)	238
hsa:10747	O00187	MASP2_HUMAN	reviewed	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	Homo sapiens (Human)	686
hsa:10877	Q92496	FHR4_HUMAN	reviewed	Complement factor H-related protein 4 (FHR-4)	CFHR4 CFHL4 FHR4	Homo sapiens (Human)	578
hsa:10878	Q02985	FHR3_HUMAN	reviewed	Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3)	CFHR3 CFHL3 FHR3	Homo sapiens (Human)	330
hsa:11326	Q9Y279	VSIG4_HUMAN	reviewed	V-set and immunoglobulin domain-containing protein 4 (Protein Z39Ig)	VSIG4 CRIg Z39IG UNQ317/PRO362	Homo sapiens (Human)	399
hsa:1191	P10909	CLUS_HUMAN	reviewed	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	CLU APOJ CLI KUB1 AAG4	Homo sapiens (Human)	449
hsa:1361	Q96IY4	CBPB2_HUMAN	reviewed	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	Homo sapiens (Human)	423
hsa:1378	P17927	CR1_HUMAN	reviewed	Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35)	CR1 C3BR	Homo sapiens (Human)	2039
hsa:1379	Q2VPA4	CR1L_HUMAN	reviewed	Complement component receptor 1-like protein (Complement C4b-binding protein CR-1-like protein)	CR1L	Homo sapiens (Human)	569
hsa:1380	P20023	CR2_HUMAN	reviewed	Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21)	CR2 C3DR	Homo sapiens (Human)	1033
hsa:1604	P08174	DAF_HUMAN	reviewed	Complement decay-accelerating factor (CD antigen CD55)	CD55 CR DAF	Homo sapiens (Human)	381
hsa:1675	P00746	CFAD_HUMAN	reviewed	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	CFD DF PFD	Homo sapiens (Human)	253
hsa:2	P01023	A2MG_HUMAN	reviewed	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	Homo sapiens (Human)	1474
hsa:2147	P00734	THRB_HUMAN	reviewed	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622
hsa:2149	P25116	PAR1_HUMAN	reviewed	Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor)	F2R CF2R PAR1 TR	Homo sapiens (Human)	425
hsa:2151	O00254	PAR3_HUMAN	reviewed	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	F2RL2 PAR3	Homo sapiens (Human)	374
hsa:2152	P13726	TF_HUMAN	reviewed	Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142)	F3	Homo sapiens (Human)	295
hsa:2153	P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224
hsa:2155	P08709	FA7_HUMAN	reviewed	Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]	F7	Homo sapiens (Human)	466
hsa:2157	P00451	FA8_HUMAN	reviewed	Coagulation factor VIII (Antihemophilic factor) (AHF) (Procoagulant component) [Cleaved into: Factor VIIIa heavy chain, 200 kDa isoform; Factor VIIIa heavy chain, 92 kDa isoform; Factor VIII B chain; Factor VIIIa light chain]	F8 F8C	Homo sapiens (Human)	2351
hsa:2158	P00740	FA9_HUMAN	reviewed	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	Homo sapiens (Human)	461
hsa:2159	P00742	FA10_HUMAN	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Homo sapiens (Human)	488
hsa:2160	P03951	FA11_HUMAN	reviewed	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	F11	Homo sapiens (Human)	625
hsa:2161	P00748	FA12_HUMAN	reviewed	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	F12	Homo sapiens (Human)	615
hsa:2162	P00488	F13A_HUMAN	reviewed	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1 F13A	Homo sapiens (Human)	732
hsa:2165	P05160	F13B_HUMAN	reviewed	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	F13B	Homo sapiens (Human)	661
hsa:2243	P02671	FIBA_HUMAN	reviewed	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA	Homo sapiens (Human)	866
hsa:2244	P02675	FIBB_HUMAN	reviewed	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	FGB	Homo sapiens (Human)	491
hsa:2266	P02679	FIBG_HUMAN	reviewed	Fibrinogen gamma chain	FGG PRO2061	Homo sapiens (Human)	453
hsa:3053	P05546	HEP2_HUMAN	reviewed	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)	SERPIND1 HCF2	Homo sapiens (Human)	499
hsa:3075	P08603	CFAH_HUMAN	reviewed	Complement factor H (H factor 1)	CFH HF HF1 HF2	Homo sapiens (Human)	1231
hsa:3078	Q03591	FHR1_HUMAN	reviewed	Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (H-factor-like 1) (H36)	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2	Homo sapiens (Human)	330
hsa:3080	P36980	FHR2_HUMAN	reviewed	Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2)	CFHR2 CFHL2 FHR2 HFL3	Homo sapiens (Human)	270
